Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-AUG-2024,13836.15,13859.65,13791.8,13826.05,1469349956,61638.37
12-AUG-2024,13787.1,13863.15,13720.95,13814.3,1733435470,74995.07
13-AUG-2024,13829,13836.95,13678.15,13691.5,1844199782,61909.48
14-AUG-2024,13724.65,13732.6,13642.2,13680.85,1713660274,66052.27
16-AUG-2024,13787.2,13925.8,13720.9,13914.7,1466141921,64316.04
19-AUG-2024,13983.25,13987.9,13926.75,13946.05,1420611830,56677.45
20-AUG-2024,13993.4,14038.9,13966.15,14030.8,1439849605,62983.26
21-AUG-2024,14029.95,14080.5,14011.8,14070.8,1360509180,63862.37
22-AUG-2024,14130.3,14131.85,14090.45,14112.6,1364845728,60179.76
23-AUG-2024,14138.1,14145.7,14088.05,14099.2,1605853834,62539.08
26-AUG-2024,14152.85,14202.35,14125.8,14191.75,1230281764,56267.85
27-AUG-2024,14207.9,14228.8,14179.25,14206,1426204806,65771.66
28-AUG-2024,14227.65,14257.8,14172.85,14218.45,1441517841,64393.43
29-AUG-2024,14217.5,14255.25,14153,14240.95,1992916614,82390.91
30-AUG-2024,14298.15,14317.45,14269.55,14295.7,6186261481,172369.52
02-SEP-2024,14354.95,14354.95,14277.5,14318.05,1939225556,68262.45
03-SEP-2024,14349.6,14349.7,14315.5,14326.8,1262609569,65480.43
04-SEP-2024,14219.2,14302.35,14217,14293.85,1326228728,63322.96
05-SEP-2024,14335.7,14344.95,14276.7,14286,1500437632,68407.59
06-SEP-2024,14267.75,14292.15,14080.15,14107.4,3160042273,72183.54
09-SEP-2024,14092.35,14153.15,14015.55,14139,1821871781,59868.59
10-SEP-2024,14190.45,14264.75,14144.25,14213.5,1643159315,63811.39
11-SEP-2024,14222.95,14269.4,14130.2,14151.5,1731749109,64618.27
12-SEP-2024,14243.1,14412.4,14188.05,14394.65,1742129187,75826.2
13-SEP-2024,14426.05,14426.05,14369.45,14391.4,1462677976,63039.27
16-SEP-2024,14434.1,14451.3,14387.5,14415.5,1242000943,53662.89
17-SEP-2024,14437.3,14437.3,14387.55,14420.55,1114766888,56842.41
18-SEP-2024,14417.95,14439.25,14321.85,14380.45,1294961491,63779.63
19-SEP-2024,14447.65,14494.25,14286.65,14367,3885606929,83025.67
20-SEP-2024,14426.15,14611.25,14384.75,14580.9,3296758914,126419.61
23-SEP-2024,14638.3,14701.85,14623.25,14693.2,2836393245,64712.04
24-SEP-2024,14695.3,14726.9,14674.05,14700.15,1842824687,73120.77
25-SEP-2024,14687.45,14708.3,14630.5,14696,1472785917,61398.13
26-SEP-2024,14709.05,14799.9,14684.55,14789.35,2220216726,79720.61
27-SEP-2024,14806.15,14833.75,14770.2,14784.8,3109711743,122033.69
30-SEP-2024,14728.8,14757.2,14597.9,14610.8,1797600653,73451.56
01-OCT-2024,14609.7,14662.6,14573,14616.8,1406202534,59944.39
03-OCT-2024,14412.5,14526.55,14278.1,14300.2,1915013211,89205.44
04-OCT-2024,14267.35,14407.65,14139.95,14165.05,1895812955,84434.12
07-OCT-2024,14214.25,14240.05,13921.65,13978.9,2292267596,82534.4
08-OCT-2024,13980.85,14187.85,13942.2,14168.15,1868171693,75776.85
09-OCT-2024,14216.2,14329.95,14181.95,14199.75,1700747099,70933.69
10-OCT-2024,14254.65,14290.35,14183.5,14194.25,1223454667,60058.56
11-OCT-2024,14197.5,14220.75,14157.05,14194,1127397718,49916.48
14-OCT-2024,14228.45,14278.9,14215.1,14269.35,1102192784,53326.67
15-OCT-2024,14311.25,14320.05,14215.2,14252.4,1171839230,59834.89
16-OCT-2024,14230.3,14274.2,14165,14205.5,1174337400,57058.45
17-OCT-2024,14229.8,14231.7,14026.25,14033.05,1223841068,62772.95
18-OCT-2024,13980.65,14099.9,13899.15,14080.5,1322265835,66128.73
21-OCT-2024,14133.55,14154.45,13966.05,13989.4,1415039979,63927.86
22-OCT-2024,14000.6,14027.65,13736.3,13751.3,1715779230,68643.73
23-OCT-2024,13711.35,13844.8,13681.9,13753.45,1954976827,78044.01
24-OCT-2024,13750.9,13782.5,13697.05,13725.55,1398262821,62439.15
25-OCT-2024,13744.45,13753.85,13491.65,13567.5,1993993836,76659.93
28-OCT-2024,13599.7,13724.45,13520,13655.35,2334155538,66172.98
29-OCT-2024,13663.65,13751.5,13534.9,13742.3,1852324550,70034.33
30-OCT-2024,13696.25,13784.1,13664.7,13688.7,2246099615,66430.46
31-OCT-2024,13694.9,13708.8,13586.75,13618.2,1883798520,63789.4
01-NOV-2024,13683.15,13726.8,13676.15,13690.35,479339708,8202.54
04-NOV-2024,13697.3,13697.95,13416.85,13513.55,1831172354,60590.51
05-NOV-2024,13476.8,13628.95,13405.65,13618.85,1687257369,61647.28
06-NOV-2024,13680.85,13840.35,13637.7,13824.1,1608378524,70940.83
07-NOV-2024,13842.6,13846.85,13674.15,13681.75,1463463378,60948.9
08-NOV-2024,13688.9,13719.3,13575,13602.3,1395349401,58524.43
